ticker,close,dvol,PRIMEXCH
TSLA,1199.78,41637179517.36,Q
AAPL,182.01,19048517734.35,Q
NVDA,301.21,11798357446.33,Q
AMZN,3408.09,10803839561.130001,Q
MSFT,334.75,9648688718.5,Q
AMD,150.24,8931204149.28,Q
FB,338.54,4916184442.96,Q
GOOGL,2899.83,4124445607.98,Q
GOOG,2901.49,3636457727.43,Q
PFE,56.65,3243390834.2,N
MRNA,235.05,2781311392.5,Q
BAC,46.18,2707536724.96,N
PYPL,194.94,2486591284.5,Q
F,21.77,2415700430.5,N
JPM,161.7,2122816680.6,N
WFC,50.73,1977852565.1699998,N
C,63.1,1926220193.9,N
BA,207.86,1886244693.1200001,N
LCID,40.93,1870420286.04,Q
NFLX,597.37,1824195340.07,Q
INTC,53.21,1796061194.84,Q
MU,95.75,1793818034.0,Q
MA,370.95,1748773294.5,N
V,221.43,1704236880.72,N
RBLX,98.81,1679569218.08,N
DIS,156.76,1603381567.32,N
ADBE,564.37,1598754108.44,Q
XOM,63.54,1543398481.98,N
COST,566.71,1528612384.95,Q
UNH,502.28,1523976789.04,N
HD,408.64,1520689194.8799999,N
PG,162.9,1517884606.8,N
AVGO,663.32,1487739201.7600002,Q
T,25.43,1479600098.36,N
LOW,255.51,1355658640.47,N
GS,395.33,1319819878.9099998,N
GM,61.17,1284697845.3,N
CVX,119.26,1278663621.22,N
TMO,644.92,1218917502.6799998,N
SQ,164.03,1201354899.85,N
KO,59.3,1197170756.1,N
UBER,43.95,1158740211.75,N
DHR,315.76,1157503850.96,N
QCOM,186.21,1112400850.05,Q
CRM,255.46,1103201199.94,N
FCNCA,859.76,1091914974.48,Q
CSCO,63.16,1081885703.76,Q
BRK,300.79,1074157485.5900002,N
CRWD,198.33,1048515574.2600001,Q
CMCSA,50.74,1046869912.5600001,Q
JNJ,171.54,1031431766.5799999,N
WMT,144.65,998556848.3000001,N
VZ,52.44,956671310.4,N
PEP,172.98,948162193.1999999,Q
ROKU,233.19,947869312.86,Q
BKNG,2461.42,945261584.02,Q
NVAX,142.9,940335587.5,Q
ORCL,87.9,936441243.6,N
NKE,164.67,933996383.7599999,N
ABT,139.04,930515884.3199999,N
ABBV,135.42,926589953.6399999,N
MDB,487.56,923226551.4,Q
ATVI,67.42,888082601.22,Q
SNOW,332.01,862227313.92,N
IMMX,5.78,861518138.1800001,Q
AMAT,159.93,855240068.7,Q
RIVN,102.72,854634508.8,Q
INTU,631.47,850876777.38,Q
MS,100.19,850720603.87,N
COIN,251.05,837963727.8000001,Q
CALX,77.7,816238810.8000001,N
AAL,18.75,802340981.25,Q
AFRM,95.21,797435258.6099999,Q
LRCX,725.46,767516367.12,Q
ZS,301.83,766786136.31,Q
BMY,61.88,764885252.0400001,N
TMUS,114.43,761314347.4300001,Q
WDAY,263.72,742292684.0000001,Q
MCD,268.58,738838333.4799999,N
DDOG,163.83,734363387.7600001,Q
ABNB,172.68,729738082.08,Q
MRK,76.87,725921768.13,N
NEE,91.66,720957871.22,N
TXN,190.6,719499942.6,Q
LLY,271.73,712317097.95,N
AMC,26.52,711022707.72,N
PANW,544.21,701358800.6500001,Q
TGT,231.95,700110689.55,N
CHTR,647.58,670038721.98,Q
NOW,630.14,658040708.78,N
ZTS,234.03,648905746.38,N
XLNX,221.27,641917767.47,Q
MELI,1332.94,641084157.7,Q
SBUX,116.68,638748324.8000001,Q
PLTR,18.53,637184216.84,N
UAL,45.49,630711162.19,Q
VIAC,32.24,629638914.32,Q
IBM,136.04,627234866.5999999,N
FTNT,333.12,626815248.0,Q
AMGN,226.69,616686569.24,Q
TWTR,42.66,616328344.9799999,N
MRVL,89.43,609183924.36,Q
UNP,247.77,607079859.75,N
EXC,57.07,603470735.4,Q
MDLZ,65.97,591571527.5699999,Q
SPGI,461.1,591308645.7,N
ZM,184.26,582959208.36,Q
DOCU,157.01,582079875.79,Q
SCHW,85.76,578094952.96,N
ISRG,360.0,563003280.0,Q
DE,350.11,550057821.0,N
ETSY,209.93,542045138.04,Q
HUBS,607.59,539388630.09,N
TWLO,262.29,533901786.6,N
HON,206.8,531587051.6,Q
FIS,113.88,529351478.76,N
FISV,107.62,527488022.28000003,Q
AXP,168.21,525875259.42,N
FCX,41.48,525353989.28,N
CVS,104.16,515786570.88,N
UPST,144.66,513528389.34,Q
FRC,197.36,505584611.68,N
DAL,40.29,505492481.78999996,N
LULU,387.56,504565139.12,Q
SHW,339.12,503305965.36,N
UPS,213.5,495232892.0,N
MO,47.97,494534434.68,N
BX,126.63,494267407.83,N
ON,70.17,493662931.14,Q
M,27.38,484379634.76,N
GILD,72.58,479033951.56,Q
DXCM,520.79,477389444.55999994,Q
ADI,177.15,470182672.5,Q
OXY,31.06,468877163.12,N
DVN,45.57,467399550.66,N
LUV,44.0,465280332.0,N
CMG,1690.67,461035564.98,N
NET,126.16,459984784.88,N
CERN,92.84,458726989.16,Q
PM,95.73,458580301.23,N
PNC,208.22,457976766.7,N
FDX,258.55,453353204.75,N
VG,20.77,451082527.68,Q
CL,84.59,450615328.68,N
KLAC,435.09,450460859.52,Q
RTX,86.97,449626029.06,N
PTON,35.2,448028451.20000005,Q
EBAY,66.8,446054261.2,Q
GE,96.24,444742170.71999997,N
WM,162.74,440173781.58000004,N
GPN,141.7,435245294.9,N
SOFI,15.68,431686487.68,Q
ANTM,464.86,430996343.58,N
BLK,911.73,429246130.92,N
LMT,354.36,427407061.68,N
CAT,207.0,425710818.0,N
COP,73.77,425651940.98999995,N
WBA,53.06,404552733.34000003,Q
MMC,167.23,400682243.84999996,N
U,138.65,400457664.95,N
BIIB,244.14,397979205.78,Q
NEM,60.98,395994119.28,N
APO,71.53,386507920.14,N
HCA,254.08,385809046.40000004,N
MPC,65.66,384561887.21999997,N
DASH,145.34,381206617.74,N
EL,370.29,380337078.57,N
EXPE,184.97,376860282.61,Q
AA,60.36,374741559.12,N
SNAP,46.59,369957259.59000003,N
TJX,75.55,363765166.15,N
CLF,21.73,361024371.27,N
COF,148.34,353293070.96,N
SWKS,159.78,353147034.24,Q
DG,235.48,353017722.68,N
MMM,177.74,343208297.18,N
TFC,60.4,342939784.4,N
DUK,103.49,338687790.38,N
CI,234.2,335949361.0,N
ADP,244.01,335700173.64,Q
TTD,90.11,335274619.86,Q
APD,295.81,334295768.43,N
BILL,233.54,333383721.42,N
PAYX,134.51,326816794.84,Q
ANET,142.24,326708353.44,N
CSX,37.08,321699220.2,Q
REGN,627.1,320807428.3,Q
SYK,268.42,313980000.28000003,N
MTCH,134.23,313612555.85999995,Q
DKNG,27.77,312146991.03,Q
USB,57.27,311032854.57,N
PINS,36.41,309950283.39,N
AZO,2045.11,307488423.83,N
VRTX,222.53,303962405.67,Q
ADSK,283.72,303329024.08000004,Q
S,47.62,300221861.46,N
MAR,163.91,298910537.65999997,Q
DOW,56.87,297758865.46999997,N
HOOD,18.44,296828864.40000004,Q
X,23.93,295440043.23,N
CME,225.46,294864704.56,Q
MRO,16.87,293644196.65000004,N
HUM,465.45,291857164.34999996,N
LH,298.18,289652946.54,N
BBY,102.12,288897888.48,N
TER,166.11,284760878.01000005,Q
KMB,142.43,284040742.64,N
CNC,82.65,282762427.95000005,N
PSX,75.74,281040313.82,N
MCHP,88.0,279406072.0,Q
PH,316.0,278221252.0,N
EPAM,642.2,278211315.20000005,N
PXD,186.89,277289814.34,N
VLO,77.14,275256733.5,N
ALGN,648.05,275099169.15,Q
OKTA,222.66,274755092.21999997,Q
WOLF,121.14,273542963.22,N
LEN,111.81,273326589.03000003,N
EOG,91.16,273289931.4,N
EA,134.95,272768632.15,Q
ODFL,346.37,272305702.9,Q
KR,45.19,272258362.12,N
ENPH,184.45,271913238.8,Q
CTAS,424.09,270076627.41999996,Q
GIS,67.26,269934490.74,N
HPQ,38.02,268404243.08,N
ALB,236.67,267612472.47,N
HLT,154.48,264570944.39999998,N
IDXX,631.01,262477443.64,Q
LYV,121.14,262330608.24,N
APA,28.06,260982299.95999998,Q
DHI,105.26,259880834.92000002,N
DISCA,25.33,258256017.14,Q
TDOC,95.08,257028052.56,N
FAST,61.98,256879332.95999998,Q
Z,63.44,256052848.48,Q
NOC,385.53,255275605.26,N
IQV,273.58,253876221.23999998,N
NUE,113.04,253856640.96,N
BDX,253.21,252555452.15,N
A,156.48,251357423.04,N
CVNA,239.63,250542750.2,N
LVS,38.85,250109190.45000002,N
RF,22.67,249296549.20000002,N
ORLY,695.94,249270397.32000002,Q
BLDR,83.49,249193604.88,N
STZ,252.82,247660449.44,N
PAYC,404.94,247596108.66,N
SO,68.17,246544917.23000002,N
MET,63.23,246338389.29999998,N
MCO,383.59,245216812.11999997,N
SNPS,361.1,241088415.00000003,Q
ICE,133.95,240043624.04999998,N
W,195.77,239067863.59,N
CTSH,89.57,238901551.85,Q
XEL,67.94,237254021.34,Q
KMI,16.35,236650881.00000003,N
CARR,52.52,236619721.52,N
TTWO,178.61,236059549.28000003,Q
MGM,45.48,235941871.67999998,N
AEP,88.61,235517227.88,Q
CFG,49.14,234423156.24,N
SYF,47.0,233266546.0,N
WMB,26.5,231812619.0,N
ALL,118.27,227620194.87,N
EW,128.34,226665252.54,N
NSC,292.35,224708980.50000003,N
FANG,111.84,223978277.28,Q
MARA,32.89,223896537.15,Q
EMR,91.76,223583333.60000002,N
LYFT,44.59,221610962.3,Q
HAL,23.99,220703082.04999998,N
BSX,43.12,219632496.16,N
CTRA,19.57,219602406.6,N
LHX,211.57,218273172.31,N
ROK,339.66,216754368.66000003,N
GME,152.84,216574432.84,N
PENN,50.64,216274223.52,Q
ILMN,380.87,216171528.51,Q
PKI,192.2,216130245.39999998,N
COUP,164.06,215176174.20000002,Q
KHC,36.14,214860286.94,Q
NDAQ,202.46,213705640.70000002,Q
WYNN,87.77,213356757.73999998,Q
AAP,236.78,213062457.74,N
PGR,102.0,213043524.0,N
DKS,114.55,212897818.9,N
ULTA,413.23,207569974.53,Q
FTV,73.57,204911798.90999997,N
ITW,243.48,204456486.48,N
DGX,164.35,202616596.6,N
ROST,113.16,202298168.88,Q
CDNS,183.16,201833711.48,Q
VRSK,221.66,200332539.78,Q
BBIO,17.16,199977955.32,Q
DPZ,553.22,199316314.48000002,N
ASAN,71.66,197581883.57999998,N
GNRC,347.91,196743452.91000003,N
MAS,69.42,196300669.5,N
TDG,641.59,196284195.06,N
DLTR,141.17,196244934.43999997,Q
DD,80.66,195231641.82,N
WSM,168.87,194836802.16,N
AIG,57.39,193765397.88,N
WDC,65.93,193403017.8,Q
DT,59.3,192712309.79999998,N
MSTR,558.26,192701861.57999998,Q
KEYS,202.66,191973738.2,N
SIVB,688.17,191095174.61999997,Q
CZR,93.47,190835268.78,Q
BK,58.51,190427699.18,N
BBWI,69.62,190267561.28,N
LNG,102.49,189882505.57,A
CMI,219.53,189681603.55,N
OTIS,85.57,189071792.48999998,N
KSS,49.58,188523140.73999998,N
AFL,58.27,188271185.78,N
RH,538.32,187783780.56000003,N
CF,70.59,186185007.45000002,N
D,78.35,184019704.79999998,N
CLX,174.93,181819093.26000002,N
TROW,194.58,181207878.66000003,Q
CROX,132.11,181180542.07000002,Q
EXAS,81.52,180854239.51999998,Q
FCEL,5.78,180634230.66,Q
MSI,267.43,180556166.79,N
CHWY,57.48,179905732.32,N
FITB,44.67,179057550.84,Q
VMW,118.2,178824898.20000002,N
MTD,1674.86,177925402.38,N
MNST,96.54,177531846.84,Q
WST,445.92,177283076.64000002,N
MSCI,595.58,177171947.24,N
ROP,474.97,175459142.67000002,N
QRVO,159.43,174291108.02,Q
URI,330.64,173392575.6,N
CDW,205.01,173061036.59,Q
ALNY,173.91,171871948.71,Q
TRV,155.75,171861091.5,N
YUM,136.53,170847361.62,N
HTZ,24.75,170808189.75,Q
HBAN,15.8,169738862.8,Q
VEEV,256.31,169615705.6,N
SPCE,13.54,169049445.51999998,N
BURL,289.0,168942753.0,N
VTRS,14.21,168835702.91,Q
