Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
19630701,-0.0067,0.0,-0.0034000000000000002,-0.0001,0.0016,0.0001,-0.0024
19630702,0.0079,-0.0026,0.0026,-0.0007000000000000001,-0.002,0.0001,0.0044
19630703,0.0063,-0.0017000000000000001,-0.0009,0.0018,-0.0034000000000000002,0.0001,0.0038
19630705,0.004,0.0008,-0.0027,0.0009,-0.0034000000000000002,0.0001,0.0006
19630708,-0.0063,0.0004,-0.0018,-0.0029,0.0014000000000000002,0.0001,-0.0045000000000000005
19630709,0.0045000000000000005,0.0,0.0009,0.0014000000000000002,-0.0005,0.0001,0.0042
19630710,-0.0018,0.0021,0.0001,0.0006,-0.0008,0.0001,0.0017000000000000001
19630711,-0.0016,0.0015,-0.003,-0.0007000000000000001,0.0005,0.0001,-0.0013
19630712,-0.0012,0.0001,-0.0009,0.0011,0.0004,0.0001,-0.0012
19630715,-0.0062,0.0007000000000000001,-0.0002,0.0016,-0.0004,0.0001,-0.0028000000000000004
19630716,-0.0007000000000000001,-0.0008,0.0014000000000000002,-0.0005,-0.0008,0.0001,0.0012
19630717,-0.0033,-0.0008,0.0014000000000000002,0.0003,0.001,0.0001,0.0002
19630718,-0.0054,0.0026,0.0007000000000000001,-0.0004,0.0033,0.0001,-0.0001
19630719,-0.0023,-0.0006,-0.0004,0.0016,-0.003,0.0001,-0.0013
19630722,-0.006999999999999999,-0.001,-0.0033,0.0,-0.0011,0.0001,-0.0043
19630723,0.0001,-0.0009,-0.0019,0.0004,-0.0007000000000000001,0.0001,0.0001
19630724,0.0046,-0.0011,-0.0002,-0.0011,-0.0029,0.0001,0.0039000000000000003
19630725,-0.0004,0.0014000000000000002,0.0026,-0.0015,0.0016,0.0001,0.0009
19630726,0.0034999999999999996,-0.0014000000000000002,0.0008,0.0003,-0.0008,0.0001,0.0029
19630729,0.0011,-0.0017000000000000001,0.0025,0.0007000000000000001,-0.0011,0.0001,0.002
19630730,0.0084,-0.0029,-0.0025,0.0052,-0.0040999999999999995,0.0001,0.0053
19630731,-0.0013,0.0012,-0.0001,-0.0015,0.0034000000000000002,0.0001,0.0003
19630801,-0.0008,-0.0013,-0.0011,0.0016,-0.0001,0.0001,-0.0004
19630802,0.0029,-0.0014000000000000002,0.0016,-0.0005,0.0002,0.0001,0.0011
19630805,0.005699999999999999,-0.0042,0.0016,0.0004,0.001,0.0001,0.002
19630806,0.006,-0.0033,0.0025,0.0001,-0.0003,0.0001,0.0024
19630807,-0.0019,0.0004,0.0017000000000000001,-0.002,0.0015,0.0001,0.0011
19630808,0.0014000000000000002,-0.0001,-0.0025,0.0028000000000000004,-0.0032,0.0001,0.0016
19630809,0.006,-0.0009,-0.0006,0.0024,-0.0016,0.0001,0.0017000000000000001
19630812,0.0024,0.002,0.0043,-0.0012,0.0034000000000000002,0.0001,-0.0012
19630813,0.0027,-0.0026,0.0001,0.0004,-0.0003,0.0001,0.0006
19630814,0.0029,-0.0007000000000000001,0.002,-0.0019,0.0004,0.0001,-0.0021
19630815,0.0043,-0.003,0.0036,-0.0019,-0.0001,0.0001,0.0025
19630816,0.0015,0.0008,0.0012,0.0005,-0.0019,0.0001,0.0019
19630819,-0.0005,-0.0001,-0.0009,-0.0007000000000000001,-0.0006,0.0001,0.0029
19630820,-0.0005,0.0001,-0.0024,0.0002,0.001,0.0001,0.0005
19630821,-0.0011,0.0033,-0.0012,-0.0007000000000000001,0.001,0.0001,-0.002
19630822,0.0038,0.0007000000000000001,0.0009,-0.0008,-0.0032,0.0001,-0.004
19630823,0.0034000000000000002,-0.0001,0.0009,0.0007000000000000001,-0.0003,0.0001,0.0
19630826,0.0018,-0.0012,0.0015,0.0011,-0.0021,0.0001,-0.0018
19630827,-0.0044,0.001,-0.0005,-0.0002,0.0014000000000000002,0.0001,0.0011
19630828,0.0077,0.0008,0.0043,0.0013,0.002,0.0001,0.0033
19630829,0.0018,0.0012,0.0,0.001,0.001,0.0001,-0.0048
19630830,0.0044,0.0011,-0.0006,0.0011,-0.0027,0.0001,-0.0015
19630903,0.0023,0.0008,0.0003,0.0003,0.0019,0.0001,0.0005
19630904,-0.0001,0.0006,-0.0007000000000000001,-0.0038,-0.0004,0.0001,-0.0024
19630905,0.004699999999999999,-0.001,0.0013,-0.0008,0.0004,0.0001,0.0007000000000000001
19630906,-0.0027,-0.0018,-0.0001,0.0012,-0.0004,0.0001,-0.0016
19630909,-0.0036,-0.0025,-0.0002,0.0005,0.0014000000000000002,0.0001,0.0008
19630910,0.0052,-0.0017000000000000001,0.0042,0.0006,-0.0025,0.0001,0.003
