tk,n,flow_oc,p_oc,flow_cc,dir_oc,mean_dir,frac_short
AA,938,-0.020337781345817152,0.533866489284454,-0.011096834386491663,,-1.0,1.0
AAL,981,0.12589144453941614,7.693631996318753e-05,0.15862570627943845,-0.015783375657185014,-0.9306829765545361,0.9653414882772681
AAPL,572,0.32373866284083697,2.012098161851033e-15,0.41406369494018147,0.2639184055474123,-0.6923076923076923,0.8461538461538461
AAXJ,950,-0.02645664407817656,0.41534855093331513,-0.029969421915135953,0.061907149849026094,-0.9747368421052631,0.9873684210526316
ABNB,997,0.04536279242032458,0.15234882153046297,0.10955410035813408,0.01732358224454904,-0.9979939819458375,0.9989969909729187
ACN,946,0.005410346245363357,0.8680091354246191,0.1305179892387088,0.018347031172910377,-0.6701902748414377,0.8350951374207188
ACWI,939,0.020467357953367227,0.5310436691251642,0.05631122820084343,-0.004737659656958096,-0.6528221512247071,0.8264110756123536
ACWX,988,-0.05143615367312921,0.1061401236746428,-0.06068328783273844,-0.036295237865458796,-0.7692307692307693,0.8846153846153846
ADBE,949,0.19302824794832124,2.0344960660089148e-09,0.28352179598756555,,-1.0,1.0
ADI,852,-0.08555908848147284,0.012478931893905351,-0.05185474035115296,0.05403075841323622,-0.6619718309859155,0.8309859154929577
ADM,938,0.07129418702839595,0.02900790913286368,0.23578482195586264,0.031854491106444865,-0.8038379530916845,0.9019189765458422
ADP,919,0.004692456168374427,0.8870333695077256,0.11098957007456899,0.020867103991146742,0.06855277475516866,0.4657236126224157
ADSK,932,0.08172250798203033,0.01257063357668546,0.057250783608637786,0.011646387016346238,-0.8004291845493562,0.9002145922746781
AEM,944,0.015650705033537042,0.6310470230427246,0.011017250029950168,0.004993087836612545,-0.9216101694915254,0.9608050847457628
AEP,898,0.017972347626829564,0.5906707386929827,-0.008291425501908659,0.09613198667148887,-0.7305122494432071,0.8652561247216035
AES,942,0.10663268539487214,0.00104628283924012,0.0399008061832175,0.03668627638009564,-0.6093418259023354,0.8046709129511678
AFL,919,-0.015981972644311147,0.6284815397785369,0.07238357279356677,0.041277835394203814,0.8302502720348205,0.08487486398258977
AFRM,931,0.10308878180100721,0.0016346946617662667,0.041088597537059866,0.09411614512480433,-0.9484425349087003,0.9742212674543501
AG,999,-0.036542799970902845,0.24852220722415322,-0.0673301148456388,,-1.0,1.0
AGI,952,0.08159045357385428,0.011791458586160547,0.12740821268549998,0.04098585145643287,-0.9663865546218487,0.9831932773109243
AGNC,952,0.2011800077678092,3.7692091284031137e-10,0.24839278621080751,,-1.0,1.0
AIG,886,-0.015396417708170284,0.6471923509708433,0.03763420780770913,-0.0038117146304411926,-0.3182844243792325,0.6591422121896162
AKAM,928,0.04490636758128236,0.1716777886767022,0.08990613685014323,0.034471536205407875,-0.18318965517241378,0.5915948275862069
ALC,940,0.10736721684333447,0.0009773356749540178,-0.07243936428219616,0.04094781643214257,-0.24893617021276596,0.624468085106383
ALGN,952,0.04326208749771959,0.1823019747080911,0.11405872630676639,,-1.0,1.0
ALL,923,0.012894631949001126,0.695622717603255,-0.024932015376372515,0.048179473579569324,-0.17659804983748645,0.5882990249187432
ALLY,934,-0.005545816131625472,0.8655903193306416,0.01985255231116553,0.0067182268272526595,-0.8308351177730193,0.9154175588865097
AMGN,965,0.039928068961739144,0.2152603224840417,-0.023199573868626155,0.062222961016608076,-0.6269430051813472,0.8134715025906736
AMT,942,-0.030664775960142613,0.34714816043539054,-0.022724484806110237,-0.08936973250613188,-0.8471337579617835,0.9235668789808917
APA,915,0.16414428472712678,5.966253332297492e-07,0.1792508053155824,-0.025898744411326176,-0.9584699453551913,0.9792349726775956
AR,937,0.06880221325238853,0.035225945206157176,0.08794021651622712,-0.00012001100153559206,-0.9786552828175027,0.9893276414087513
ARGX,952,0.054285176150477045,0.09413538134170209,-0.08339046437193974,0.057203454848132676,-0.8130252100840336,0.9065126050420168
ARMK,933,-0.04035078664237805,0.2181860264980957,0.05765855583634422,0.0032187202750129417,0.33762057877813506,0.3311897106109325
ASML,909,0.2143872782069412,6.538270243708214e-11,0.20707801964666145,0.11803776919545825,-0.5093509350935094,0.7546754675467546
ASO,930,-0.070743471238143,0.03099105077468057,-0.0892166159764006,0.041205561995032315,-0.4817204301075269,0.7408602150537634
AU,949,0.030966743953734277,0.34062659567538894,-0.15940201918731636,-0.019530818170433777,-0.9051633298208641,0.9525816649104321
AUPH,951,-0.016869184199533087,0.603363633760395,-0.012887688274367868,0.03269515720471407,-0.8633017875920084,0.9316508937960042
AVTR,935,-0.028122431501355676,0.39037318853311986,0.0332813021749063,0.004958542837426749,-0.7775401069518717,0.8887700534759359
AZN,917,-0.12219473235939342,0.00020794586817121058,-0.0030712621488295233,-0.034601781722086195,-0.8102508178844057,0.9051254089422028
BA,157,0.35617254122475916,4.689610327114206e-06,0.41459695359435805,0.1375675153243025,-0.7834394904458599,0.89171974522293
BABA,866,0.0510544316708274,0.1332954063923223,0.04692413026572028,0.025721659024207835,-0.9676674364896074,0.9838337182448037
BBWI,926,-0.08371498485614468,0.010818682727226322,-0.011429835781574117,-0.033771476385229586,-0.8617710583153347,0.9308855291576674
BBY,940,-0.09427106074523937,0.0038170914189252945,-0.05523555743958835,,-1.0,1.0
BCE,952,0.051073053779016477,0.11530472847064567,0.08128441528515924,0.004654475893170459,-0.9537815126050421,0.976890756302521
BCRX,948,0.114082092704695,0.000432516780319329,0.15101029325295506,0.0073404821370073895,-0.8776371308016878,0.9388185654008439
BCS,1001,0.09810456977568982,0.0018867044425769407,0.12434500815473482,0.01717272274514049,-0.6343656343656343,0.8171828171828172
BE,944,-0.1682790095016482,1.9866618551021805e-07,-0.24722109355219177,0.030024397910558533,-0.7161016949152542,0.8580508474576272
