tk,n,rho_infl,p_infl,rho_trad,p_trad,mean_pre_bps,mean_trad_bps,mean_infl_bps
AAL,920675,0.0270018485005156,4.6976603306782734e-148,0.0029945067818622,0.0040622615636116,-115.46914160418126,81.56774216989153,2.123088970677816
ADBE,1262931,0.0159040827278903,1.8750101821293423e-71,0.026773093224439,5.979318194890445e-199,-11.398659175993426,3.1877596125603027,4.644459618406835
AGI,715414,0.025334631360505,6.726125407353845e-102,-0.0056054408307451,2.1242325006955e-06,-59.53868137831188,8.663389637089399,-2.517092493972445
AMD,1005332,-0.0080703484825321,5.871357770317955e-16,-0.0097278858204173,1.7733186626316176e-22,-2.9214414641941344,-0.2923645377838977,-1.262276769774049
AUPH,610748,0.0493524285993205,0.0,0.0007367103965426,0.5647904035638116,-330.1932819665746,89.48302933134104,6.470421662575011
BCE,655283,0.0278363846971821,1.7708153097889686e-112,-0.0209066051097823,2.912605608631604e-64,-86.09399678166189,61.00900159152634,2.3031674374150684
BLK,50720,0.0208014665671294,2.7980857595950454e-06,0.0019453088140345,0.6613177202167937,-70.03053078824668,65.40000539934125,6.402882773202327
CAH,908761,0.0224938751800503,4.991486175596936e-102,0.001793122995787,0.087383458325981,-10.110926122104852,-13.797108787294766,-1.2406108789340486
CF,950382,0.0261087022289558,5.900231112696127e-143,-0.0032714571885225,0.0014263387420978,-10.400192130098578,2.9218558772150125,2.7345347808880334
CNC,1177628,0.0201939835704866,1.81102173157181e-106,-0.0068954949876383,7.265950833434437e-14,-12.574095622306414,-7.517479946332585,4.579955635215795
COST,988690,0.0108574731237996,3.587292680595154e-27,0.001703900218313,0.0902203799557421,13.901674478894831,-30.14526143613392,-0.5133902048174127
CSX,1026960,0.0263080171625932,1.2032302408839942e-156,0.0030130765828862,0.002262445555168,-14.331835460619372,5.909328767132709,1.6944375864674326
DASH,1242537,0.0219255637550737,5.951201027137877e-132,0.0100596318510118,3.494470008717917e-29,-21.93996434069968,-4.787195823767307,1.2465499286985489
DKNG,1345725,0.0232122335414507,9.512282100948945e-160,0.0315732338345744,7.716206920878926e-294,-63.30860410008394,37.1822733919249,1.6873698453470662
D,1382309,0.0219792760126556,2.805874956115449e-147,-0.000957545701293,0.2602495901497713,-14.966925659810622,9.044410992670526,0.060326495534537
